,Draw Id,Date,Time,1,2,3,4,5,6
174,6679,25-01-2022,21:50:00,22,9,38,10,19,36
175,6678,22-01-2022,21:50:00,10,21,3,20,19,44
176,6677,20-01-2022,21:50:00,40,6,23,28,12,31
177,6676,18-01-2022,21:50:00,10,46,29,2,24,44
178,6675,15-01-2022,21:50:00,23,41,26,42,19,13
179,6674,13-01-2022,21:50:00,29,32,41,40,21,27
180,6673,11-01-2022,21:50:00,27,9,37,38,12,25
181,6672,08-01-2022,21:50:00,47,40,26,38,12,19
182,6671,06-01-2022,21:50:00,18,6,2,42,38,4
183,6670,04-01-2022,21:50:00,32,45,16,37,1,25
184,6669,01-01-2022,21:50:00,32,48,6,29,11,4
185,6668,30-12-2021,21:50:00,31,41,5,3,44,26
186,6667,28-12-2021,21:50:00,11,39,36,4,29,5
187,6666,25-12-2021,21:50:00,46,14,1,10,7,12
188,6665,23-12-2021,21:50:00,48,3,23,13,19,49
189,6664,21-12-2021,21:50:00,46,11,42,5,12,37
190,6663,18-12-2021,21:50:00,4,33,15,13,44,11
191,6662,16-12-2021,21:50:00,38,47,26,29,25,16
192,6661,14-12-2021,21:50:00,3,6,15,37,44,47
193,6660,11-12-2021,21:50:00,2,4,9,13,18,23
194,6659,09-12-2021,21:50:00,3,13,18,24,38,40
195,6658,07-12-2021,21:50:00,9,20,29,33,45,48
196,6657,04-12-2021,21:50:00,5,13,43,17,39,11
197,6656,02-12-2021,21:50:00,23,16,6,4,19,11
198,6655,30-11-2021,21:50:00,34,36,31,39,27,26
199,6654,27-11-2021,21:50:00,28,22,6,39,20,13
200,6653,25-11-2021,21:50:00,15,45,47,13,8,23
201,6652,23-11-2021,21:50:00,49,18,19,2,17,11
202,6651,20-11-2021,21:50:00,21,48,39,27,38,3
203,6650,18-11-2021,21:50:00,25,18,29,17,35,6
204,6649,16-11-2021,21:50:00,47,9,34,6,25,1
205,6648,13-11-2021,21:50:00,34,35,17,47,3,21
206,6647,11-11-2021,21:50:00,17,41,35,4,16,30
207,6646,09-11-2021,21:50:00,37,9,30,7,6,19
208,6645,06-11-2021,21:50:00,24,35,48,15,42,23
209,6644,04-11-2021,21:50:00,10,41,1,9,31,39
210,6643,02-11-2021,21:50:00,3,40,36,18,30,25
211,6642,30-10-2021,21:50:00,12,34,39,30,24,43
212,6641,28-10-2021,21:50:00,33,28,39,23,47,43
213,6640,26-10-2021,21:50:00,19,27,18,25,39,29
214,6639,23-10-2021,21:50:00,35,24,21,33,32,1
215,6638,21-10-2021,21:50:00,25,33,17,23,27,19
216,6637,19-10-2021,21:50:00,36,17,33,38,32,23
217,6636,16-10-2021,21:50:00,31,24,7,15,4,34
218,6635,14-10-2021,21:50:00,24,35,11,34,27,10
219,6634,12-10-2021,21:50:00,30,5,4,48,31,21
220,6633,09-10-2021,21:50:00,29,42,10,6,24,18
221,6632,07-10-2021,21:50:00,37,41,26,11,35,49
222,6631,05-10-2021,21:50:00,3,43,40,22,1,47
223,6630,02-10-2021,21:50:00,34,12,6,30,8,26
224,6629,30-09-2021,21:50:00,22,3,4,46,37,15
225,6628,28-09-2021,21:50:00,46,3,8,2,39,40
226,6627,25-09-2021,21:50:00,18,8,31,15,3,41
227,6626,23-09-2021,21:50:00,13,44,8,17,6,12
228,6625,21-09-2021,21:50:00,15,40,1,9,44,2
229,6624,18-09-2021,21:50:00,18,39,22,15,20,11
230,6623,16-09-2021,21:50:00,32,34,27,49,39,2
231,6622,14-09-2021,21:50:00,34,41,18,29,45,10
232,6621,11-09-2021,21:50:00,9,18,34,39,32,35
233,6620,09-09-2021,21:50:00,10,2,16,23,3,13
234,6619,07-09-2021,21:50:00,38,23,43,15,14,42
235,6618,04-09-2021,21:50:00,49,32,44,47,12,21
236,6617,02-09-2021,21:50:00,11,36,1,29,5,31
237,6616,31-08-2021,21:50:00,3,11,47,22,26,20
238,6615,28-08-2021,21:50:00,49,39,1,28,38,9
239,6614,26-08-2021,21:50:00,10,23,30,42,44,27
240,6613,24-08-2021,21:50:00,46,45,20,6,3,31
241,6612,21-08-2021,21:50:00,17,13,27,33,46,41
242,6611,19-08-2021,21:50:00,17,12,23,13,46,48
243,6610,17-08-2021,21:50:00,4,6,36,25,9,29
244,6609,14-08-2021,21:50:00,31,1,39,3,21,28
245,6608,12-08-2021,21:50:00,37,30,5,42,27,41
246,6607,10-08-2021,21:50:00,45,7,11,16,28,39
247,6606,07-08-2021,21:50:00,18,42,23,3,36,47
248,6605,05-08-2021,21:50:00,35,27,5,9,15,14
249,6604,03-08-2021,21:50:00,25,47,31,45,6,27
250,6603,31-07-2021,21:50:00,48,42,28,44,18,26
251,6602,29-07-2021,21:50:00,46,19,14,30,34,35
252,6601,27-07-2021,21:50:00,39,3,5,49,46,14
253,6600,24-07-2021,21:50:00,38,28,9,36,49,3
254,6599,22-07-2021,21:50:00,23,9,1,19,4,32
255,6598,20-07-2021,21:50:00,39,8,22,40,2,18
256,6597,17-07-2021,21:50:00,4,44,14,43,36,37
257,6596,15-07-2021,21:50:00,26,34,45,44,40,3
258,6595,13-07-2021,21:50:00,21,18,20,22,37,2
